country_code,country_name,year,variant,population,last_updated
124,Canada,2024,Medium,45095813.0,2025-07-02
124,Canada,2024,Medium,45251160.0,2025-07-02
124,Canada,2024,Medium,45407274.0,2025-07-02
124,Canada,2024,Medium,45546625.0,2025-07-02
124,Canada,2024,Medium,45697139.0,2025-07-02
124,Canada,2024,Medium,45845787.0,2025-07-02
124,Canada,2024,Medium,46000122.0,2025-07-02
124,Canada,2024,Medium,46141898.0,2025-07-02
124,Canada,2024,Medium,46284533.0,2025-07-02
124,Canada,2024,Medium,46429611.0,2025-07-02
124,Canada,2024,Medium,46578674.0,2025-07-02
124,Canada,2024,Medium,46732895.0,2025-07-02
124,Canada,2024,Medium,46899496.0,2025-07-02
124,Canada,2024,Medium,47064787.0,2025-07-02
124,Canada,2024,Medium,47225790.0,2025-07-02
124,Canada,2024,Medium,47394042.0,2025-07-02
124,Canada,2024,Medium,47569807.0,2025-07-02
124,Canada,2024,Medium,47743837.0,2025-07-02
124,Canada,2024,Medium,47916111.0,2025-07-02
124,Canada,2024,Medium,48087944.0,2025-07-02
124,Canada,2024,Medium,48260381.0,2025-07-02
124,Canada,2024,Medium,48441498.0,2025-07-02
124,Canada,2024,Medium,48608984.0,2025-07-02
124,Canada,2024,Medium,48775638.0,2025-07-02
124,Canada,2024,Medium,48939976.0,2025-07-02
124,Canada,2024,Medium,49105900.0,2025-07-02
124,Canada,2024,Medium,49268697.0,2025-07-02
124,Canada,2024,Medium,49423680.0,2025-07-02
124,Canada,2024,Medium,49579930.0,2025-07-02
124,Canada,2024,Medium,49743128.0,2025-07-02
124,Canada,2024,Medium,49909099.0,2025-07-02
124,Canada,2024,Medium,50059406.0,2025-07-02
124,Canada,2024,Medium,50221045.0,2025-07-02
124,Canada,2024,Medium,50373295.0,2025-07-02
124,Canada,2024,Medium,50525244.0,2025-07-02
124,Canada,2024,Medium,50687393.0,2025-07-02
124,Canada,2024,Medium,50831829.0,2025-07-02
124,Canada,2024,Medium,50989689.0,2025-07-02
124,Canada,2024,Medium,51139690.0,2025-07-02
124,Canada,2024,Medium,51283778.0,2025-07-02
124,Canada,2024,Medium,51431482.0,2025-07-02
124,Canada,2024,Medium,51572957.0,2025-07-02
124,Canada,2024,Medium,51744133.0,2025-07-02
124,Canada,2024,Medium,51887280.0,2025-07-02
124,Canada,2024,Medium,52026216.0,2025-07-02
124,Canada,2024,Medium,52184285.0,2025-07-02
124,Canada,2024,Medium,52335102.0,2025-07-02
124,Canada,2024,Medium,52494524.0,2025-07-02
124,Canada,2024,Medium,52652875.0,2025-07-02
124,Canada,2024,Medium,52815322.0,2025-07-02
124,Canada,2024,Medium,52981213.0,2025-07-02
124,Canada,2024,Medium,53167495.0,2025-07-02
124,Canada,2024,Medium,53349202.0,2025-07-02
124,Canada,2024,Medium,53524621.0,2025-07-02
304,Greenland,2024,Medium,55883.0,2025-07-02
304,Greenland,2024,Medium,55796.0,2025-07-02
304,Greenland,2024,Medium,55693.0,2025-07-02
304,Greenland,2024,Medium,55564.0,2025-07-02
304,Greenland,2024,Medium,55432.0,2025-07-02
304,Greenland,2024,Medium,55300.0,2025-07-02
304,Greenland,2024,Medium,55134.0,2025-07-02
304,Greenland,2024,Medium,54967.0,2025-07-02
304,Greenland,2024,Medium,54789.0,2025-07-02
304,Greenland,2024,Medium,54573.0,2025-07-02
304,Greenland,2024,Medium,54354.0,2025-07-02
304,Greenland,2024,Medium,54126.0,2025-07-02
304,Greenland,2024,Medium,53874.0,2025-07-02
304,Greenland,2024,Medium,53621.0,2025-07-02
304,Greenland,2024,Medium,53350.0,2025-07-02
304,Greenland,2024,Medium,53088.0,2025-07-02
304,Greenland,2024,Medium,52815.0,2025-07-02
304,Greenland,2024,Medium,52529.0,2025-07-02
304,Greenland,2024,Medium,52255.0,2025-07-02
304,Greenland,2024,Medium,51979.0,2025-07-02
304,Greenland,2024,Medium,51695.0,2025-07-02
304,Greenland,2024,Medium,51408.0,2025-07-02
304,Greenland,2024,Medium,51124.0,2025-07-02
304,Greenland,2024,Medium,50847.0,2025-07-02
304,Greenland,2024,Medium,50561.0,2025-07-02
304,Greenland,2024,Medium,50282.0,2025-07-02
304,Greenland,2024,Medium,50026.0,2025-07-02
304,Greenland,2024,Medium,49770.0,2025-07-02
304,Greenland,2024,Medium,49506.0,2025-07-02
304,Greenland,2024,Medium,49245.0,2025-07-02
304,Greenland,2024,Medium,48992.0,2025-07-02
304,Greenland,2024,Medium,48727.0,2025-07-02
304,Greenland,2024,Medium,48480.0,2025-07-02
304,Greenland,2024,Medium,48235.0,2025-07-02
304,Greenland,2024,Medium,47993.0,2025-07-02
304,Greenland,2024,Medium,47742.0,2025-07-02
304,Greenland,2024,Medium,47496.0,2025-07-02
304,Greenland,2024,Medium,47232.0,2025-07-02
304,Greenland,2024,Medium,46967.0,2025-07-02
304,Greenland,2024,Medium,46692.0,2025-07-02
304,Greenland,2024,Medium,46419.0,2025-07-02
304,Greenland,2024,Medium,46145.0,2025-07-02
304,Greenland,2024,Medium,45872.0,2025-07-02
304,Greenland,2024,Medium,45602.0,2025-07-02
304,Greenland,2024,Medium,45314.0,2025-07-02
304,Greenland,2024,Medium,45022.0,2025-07-02
304,Greenland,2024,Medium,44742.0,2025-07-02
304,Greenland,2024,Medium,44453.0,2025-07-02
304,Greenland,2024,Medium,44164.0,2025-07-02
304,Greenland,2024,Medium,43886.0,2025-07-02
304,Greenland,2024,Medium,43601.0,2025-07-02
304,Greenland,2024,Medium,43328.0,2025-07-02
304,Greenland,2024,Medium,43039.0,2025-07-02
304,Greenland,2024,Medium,42770.0,2025-07-02
304,Greenland,2024,Medium,42504.0,2025-07-02
